序号,省级类,省级,地级类,地级,适宜性均值
1,自治区,新疆维吾尔自治区,地区,阿克苏地区,0.088
2,自治区,新疆维吾尔自治区,不统计,不统计,0.1387
3,自治区,内蒙古自治区,盟,阿拉善盟,0.03
4,自治区,新疆维吾尔自治区,地区,阿勒泰地区,0.0686
5,自治区,西藏自治区,地区,阿里地区,0.0091
6,省,陕西省,地级市,安康市,0.2852
7,省,安徽省,地级市,安庆市,0.4519
8,省,贵州省,地级市,安顺市,0.4352
9,省,河南省,地级市,安阳市,0.4364
10,省,辽宁省,地级市,鞍山市,0.3684
11,特别行政区,澳门特别行政区,不统计,不统计,0.2712
12,自治区,内蒙古自治区,地级市,巴彦淖尔市,0.0807
13,自治区,新疆维吾尔自治区,自治州,巴音郭楞蒙古自治州,0.0193
14,省,四川省,地级市,巴中市,0.3434
15,省,吉林省,地级市,白城市,0.1907
16,省,海南省,不统计,不统计,0.1567
17,省,吉林省,地级市,白山市,0.2908
18,省,甘肃省,地级市,白银市,0.2472
19,自治区,广西壮族自治区,地级市,百色市,0.2401
20,省,安徽省,地级市,蚌埠市,0.3414
21,自治区,内蒙古自治区,地级市,包头市,0.1531
22,省,陕西省,地级市,宝鸡市,0.3746
23,省,河北省,地级市,保定市,0.473
24,省,云南省,地级市,保山市,0.2708
25,省,海南省,不统计,不统计,0.2797
26,自治区,广西壮族自治区,地级市,北海市,0.3571
27,直辖市,北京市,不统计,不统计,0.5246
28,自治区,新疆维吾尔自治区,不统计,不统计,0.2394
29,省,辽宁省,地级市,本溪市,0.3482
30,省,贵州省,地级市,毕节市,0.3926
31,省,山东省,地级市,滨州市,0.4296
32,省,安徽省,地级市,亳州市,0.3695
33,自治区,新疆维吾尔自治区,自治州,博尔塔拉蒙古自治州,0.122
34,省,河北省,地级市,沧州市,0.5098
35,自治区,西藏自治区,地级市,昌都市,0.1057
36,自治区,新疆维吾尔自治区,自治州,昌吉回族自治州,0.0821
37,省,海南省,不统计,不统计,0.2568
38,省,湖南省,地级市,常德市,0.3935
39,省,江苏省,地级市,常州市,0.6419
40,省,辽宁省,地级市,朝阳市,0.2876
41,省,广东省,地级市,潮州市,0.4416
42,省,湖南省,地级市,郴州市,0.41
43,省,四川省,地级市,成都市,0.5262
44,省,河北省,地级市,承德市,0.271
45,省,海南省,不统计,不统计,0.3811
46,省,安徽省,地级市,池州市,0.4045
47,自治区,内蒙古自治区,地级市,赤峰市,0.1853
48,自治区,广西壮族自治区,地级市,崇左市,0.2959
49,省,安徽省,地级市,滁州市,0.3877
50,省,云南省,自治州,楚雄彝族自治州,0.2223
51,省,四川省,地级市,达州市,0.3692
52,省,云南省,自治州,大理白族自治州,0.3036
53,省,辽宁省,地级市,大连市,0.3942
54,省,黑龙江省,地级市,大庆市,0.2754
55,省,山西省,地级市,大同市,0.3349
56,省,黑龙江省,地区,大兴安岭地区,0.0244
57,省,海南省,地级市,儋州市,0.3099
58,省,云南省,自治州,德宏傣族景颇族自治州,0.1864
59,省,四川省,地级市,德阳市,0.5137
60,省,山东省,地级市,德州市,0.4285
61,省,云南省,自治州,迪庆藏族自治州,0.2323
62,省,海南省,不统计,不统计,0.378
63,省,甘肃省,地级市,定西市,0.3444
64,省,海南省,不统计,不统计,0.3077
65,省,广东省,地级市,东莞市,0.4813
66,省,山东省,地级市,东营市,0.3757
67,自治区,内蒙古自治区,地级市,鄂尔多斯市,0.1919
68,省,湖北省,地级市,鄂州市,0.5116
69,省,湖北省,自治州,恩施土家族苗族自治州,0.3891
70,自治区,广西壮族自治区,地级市,防城港市,0.2643
71,省,广东省,地级市,佛山市,0.5221
72,省,福建省,地级市,福州市,0.4771
73,省,辽宁省,地级市,抚顺市,0.3295
74,省,江西省,地级市,抚州市,0.3338
75,省,辽宁省,地级市,阜新市,0.2527
76,省,安徽省,地级市,阜阳市,0.4618
77,省,甘肃省,自治州,甘南藏族自治州,0.1358
78,省,四川省,自治州,甘孜藏族自治州,0.0909
79,省,江西省,地级市,赣州市,0.3022
80,自治区,宁夏回族自治区,地级市,固原市,0.3843
81,省,四川省,地级市,广安市,0.4661
82,省,四川省,地级市,广元市,0.3337
83,省,广东省,地级市,广州市,0.4297
84,自治区,广西壮族自治区,地级市,贵港市,0.3752
85,省,贵州省,地级市,贵阳市,0.5363
86,自治区,广西壮族自治区,地级市,桂林市,0.3875
87,省,青海省,自治州,果洛藏族自治州,0.0288
88,省,黑龙江省,地级市,哈尔滨市,0.245
89,自治区,新疆维吾尔自治区,地级市,哈密市,0.019
90,省,青海省,自治州,海北藏族自治州,0.0392
91,省,青海省,地级市,海东市,0.2791
92,省,海南省,地级市,海口市,0.5227
93,省,青海省,自治州,海南藏族自治州,0.0987
94,省,青海省,自治州,海西蒙古族藏族自治州,0.0172
95,省,河北省,地级市,邯郸市,0.4801
96,省,陕西省,地级市,汉中市,0.3509
97,省,浙江省,地级市,杭州市,0.4638
98,省,安徽省,地级市,合肥市,0.5381
99,自治区,新疆维吾尔自治区,地区,和田地区,0.0349
100,自治区,广西壮族自治区,地级市,河池市,0.3276
101,省,广东省,地级市,河源市,0.2475
102,省,山东省,地级市,菏泽市,0.4441
103,自治区,广西壮族自治区,地级市,贺州市,0.3721
104,省,河南省,地级市,鹤壁市,0.4513
105,省,黑龙江省,地级市,鹤岗市,0.2064
106,省,黑龙江省,地级市,黑河市,0.0765
107,省,河北省,地级市,衡水市,0.4329
108,省,湖南省,地级市,衡阳市,0.423
109,省,云南省,自治州,红河哈尼族彝族自治州,0.3099
110,自治区,内蒙古自治区,地级市,呼和浩特市,0.286
111,自治区,内蒙古自治区,地级市,呼伦贝尔市,0.0481
112,自治区,新疆维吾尔自治区,不统计,不统计,0.1548
113,省,辽宁省,地级市,葫芦岛市,0.3537
114,省,浙江省,地级市,湖州市,0.6131
115,省,湖南省,地级市,怀化市,0.3686
116,省,江苏省,地级市,淮安市,0.4383
117,省,安徽省,地级市,淮北市,0.4231
118,省,安徽省,地级市,淮南市,0.427
119,省,湖北省,地级市,黄冈市,0.3906
120,省,青海省,自治州,黄南藏族自治州,0.0891
121,省,安徽省,地级市,黄山市,0.3563
122,省,湖北省,地级市,黄石市,0.4013
123,省,广东省,地级市,惠州市,0.3385
124,省,黑龙江省,地级市,鸡西市,0.2726
125,省,江西省,地级市,吉安市,0.3245
126,省,吉林省,地级市,吉林市,0.324
127,省,山东省,地级市,济南市,0.4653
128,省,河南省,不统计,不统计,0.2981
129,省,黑龙江省,地级市,佳木斯市,0.2592
130,省,浙江省,地级市,嘉兴市,0.5601
131,省,甘肃省,地级市,嘉峪关市,0.1625
132,省,广东省,地级市,江门市,0.4211
133,省,河南省,地级市,焦作市,0.4611
134,省,广东省,地级市,揭阳市,0.4725
135,省,甘肃省,地级市,金昌市,0.1515
136,省,浙江省,地级市,金华市,0.5499
137,省,辽宁省,地级市,锦州市,0.3318
138,省,山西省,地级市,晋城市,0.3221
139,省,山西省,地级市,晋中市,0.3781
140,省,湖北省,地级市,荆门市,0.301
141,省,湖北省,地级市,荆州市,0.384
142,省,江西省,地级市,景德镇市,0.3106
143,省,江西省,地级市,九江市,0.3128
144,省,甘肃省,地级市,酒泉市,0.0197
145,自治区,新疆维吾尔自治区,地区,喀什地区,0.0697
146,省,河南省,地级市,开封市,0.387
147,自治区,新疆维吾尔自治区,不统计,不统计,0.2883
148,自治区,新疆维吾尔自治区,地级市,克拉玛依市,0.1241
149,自治区,新疆维吾尔自治区,自治州,克孜勒苏柯尔克孜自治州,0.0673
150,省,云南省,地级市,昆明市,0.3835
151,自治区,新疆维吾尔自治区,不统计,不统计,0.1327
152,自治区,西藏自治区,地级市,拉萨市,0.1041
153,自治区,广西壮族自治区,地级市,来宾市,0.3442
154,省,甘肃省,地级市,兰州市,0.3582
155,省,河北省,地级市,廊坊市,0.6589
