序号,省级类,省级,地级类,地级,县级类,县级,地名,适宜性均值
1,省,海南省,地级市,三沙市,市辖区,西沙区,西沙区,0.0052
2,自治区,内蒙古自治区,盟,锡林郭勒盟,旗,阿巴嘎旗,阿巴嘎旗,0.0543
3,省,四川省,自治州,阿坝藏族羌族自治州,县,阿坝县,阿坝县,0.1445
4,省,黑龙江省,地级市,哈尔滨市,市辖区,阿城区,阿城区,0.413
5,自治区,内蒙古自治区,盟,兴安盟,县级市,阿尔山市,阿尔山市,0.071
6,自治区,新疆维吾尔自治区,自治州,克孜勒苏柯尔克孜自治州,县,阿合奇县,阿合奇县,0.0591
7,省,甘肃省,地级市,酒泉市,自治县,阿克塞哈萨克族自治县,阿克塞哈萨克族自治县,0.0134
8,自治区,新疆维吾尔自治区,地区,阿克苏地区,县级市,阿克苏市,阿克苏市,0.0715
9,自治区,新疆维吾尔自治区,自治州,克孜勒苏柯尔克孜自治州,县,阿克陶县,阿克陶县,0.0417
10,自治区,新疆维吾尔自治区,不统计,不统计,县级市,阿拉尔市,阿拉尔市,0.1502
11,自治区,新疆维吾尔自治区,自治州,博尔塔拉蒙古自治州,县级市,阿拉山口市,阿拉山口市,0.0766
12,自治区,内蒙古自治区,盟,阿拉善盟,旗,阿拉善右旗,阿拉善右旗,0.038
13,自治区,内蒙古自治区,盟,阿拉善盟,旗,阿拉善左旗,阿拉善左旗,0.0587
14,自治区,新疆维吾尔自治区,地区,阿勒泰地区,县级市,阿勒泰市,阿勒泰市,0.1079
15,自治区,内蒙古自治区,地级市,赤峰市,旗,阿鲁科尔沁旗,阿鲁科尔沁旗,0.1981
16,自治区,内蒙古自治区,地级市,呼伦贝尔市,旗,阿荣旗,阿荣旗,0.1576
17,自治区,新疆维吾尔自治区,自治州,克孜勒苏柯尔克孜自治州,县级市,阿图什市,阿图什市,0.079
18,自治区,新疆维吾尔自治区,地区,阿克苏地区,县,阿瓦提县,阿瓦提县,0.0573
19,省,黑龙江省,地级市,黑河市,市辖区,爱辉区,爱辉区,0.107
20,省,黑龙江省,地级市,牡丹江市,市辖区,爱民区,爱民区,0.3316
21,省,河北省,地级市,廊坊市,市辖区,安次区,安次区,0.6393
22,省,黑龙江省,地级市,绥化市,县级市,安达市,安达市,0.3037
23,省,甘肃省,地级市,定西市,市辖区,安定区,安定区,0.3524
24,自治区,西藏自治区,地级市,那曲市,县,安多县,安多县,0.0163
25,省,江西省,地级市,吉安市,县,安福县,安福县,0.2762
26,省,河北省,地级市,保定市,县级市,安国市,安国市,0.539
27,省,湖南省,地级市,益阳市,县,安化县,安化县,0.3483
28,省,浙江省,地级市,湖州市,县,安吉县,安吉县,0.5208
29,省,四川省,地级市,遂宁市,市辖区,安居区,安居区,0.4438
30,省,贵州省,自治州,黔西南布依族苗族自治州,县,安龙县,安龙县,0.42
31,省,湖北省,地级市,孝感市,县级市,安陆市,安陆市,0.4404
32,省,甘肃省,地级市,兰州市,市辖区,安宁区,安宁区,0.5189
33,省,云南省,地级市,昆明市,县级市,安宁市,安宁市,0.3427
34,省,河北省,地级市,衡水市,县,安平县,安平县,0.5182
35,省,山东省,地级市,潍坊市,县级市,安丘市,安丘市,0.4798
36,省,湖南省,地级市,郴州市,县,安仁县,安仁县,0.3209
37,省,陕西省,地级市,延安市,市辖区,安塞区,安塞区,0.4071
38,省,吉林省,自治州,延边朝鲜族自治州,县,安图县,安图县,0.265
39,省,福建省,地级市,泉州市,县,安溪县,安溪县,0.4005
40,省,湖南省,地级市,常德市,县,安乡县,安乡县,0.497
41,省,河北省,地级市,保定市,县,安新县,安新县,0.5934
42,省,河南省,地级市,安阳市,县,安阳县,安阳县,0.5435
43,省,江西省,地级市,南昌市,县,安义县,安义县,0.4313
44,省,江西省,地级市,萍乡市,市辖区,安源区,安源区,0.5549
45,省,江西省,地级市,赣州市,县,安远县,安远县,0.2654
46,省,四川省,地级市,资阳市,县,安岳县,安岳县,0.4205
47,省,山西省,地级市,临汾市,县,安泽县,安泽县,0.3176
48,省,四川省,地级市,绵阳市,市辖区,安州区,安州区,0.4081
49,省,黑龙江省,地级市,齐齐哈尔市,市辖区,昂昂溪区,昂昂溪区,0.321
50,自治区,西藏自治区,地级市,日喀则市,县,昂仁县,昂仁县,0.0403
51,自治区,内蒙古自治区,地级市,赤峰市,旗,敖汉旗,敖汉旗,0.2588
52,特别行政区,澳门特别行政区,不统计,不统计,不统计,不统计,澳门特别行政区,0.2132
