序号,省级类,省级,地级类,地级,适宜性均值
1,自治区,新疆维吾尔自治区,地区,阿克苏地区,0.0805
2,自治区,新疆维吾尔自治区,不统计,不统计,0.1033
3,自治区,内蒙古自治区,盟,阿拉善盟,0.0248
4,自治区,新疆维吾尔自治区,地区,阿勒泰地区,0.1071
5,自治区,西藏自治区,地区,阿里地区,0.0149
6,省,陕西省,地级市,安康市,0.3153
7,省,安徽省,地级市,安庆市,0.5546
8,省,贵州省,地级市,安顺市,0.4116
9,省,河南省,地级市,安阳市,0.4497
10,省,辽宁省,地级市,鞍山市,0.4706
11,特别行政区,澳门特别行政区,不统计,不统计,0.3242
12,自治区,内蒙古自治区,地级市,巴彦淖尔市,0.0723
13,自治区,新疆维吾尔自治区,自治州,巴音郭楞蒙古自治州,0.0219
14,省,四川省,地级市,巴中市,0.3292
15,省,吉林省,地级市,白城市,0.2108
16,省,海南省,不统计,不统计,0.1812
17,省,吉林省,地级市,白山市,0.3263
18,省,甘肃省,地级市,白银市,0.2604
19,自治区,广西壮族自治区,地级市,百色市,0.1458
20,省,安徽省,地级市,蚌埠市,0.4061
21,自治区,内蒙古自治区,地级市,包头市,0.1592
22,省,陕西省,地级市,宝鸡市,0.3633
23,省,河北省,地级市,保定市,0.4721
24,省,云南省,地级市,保山市,0.2577
25,省,海南省,不统计,不统计,0.2704
26,自治区,广西壮族自治区,地级市,北海市,0.4199
27,直辖市,北京市,不统计,不统计,0.5424
28,自治区,新疆维吾尔自治区,不统计,不统计,0.2414
29,省,辽宁省,地级市,本溪市,0.4199
30,省,贵州省,地级市,毕节市,0.397
31,省,山东省,地级市,滨州市,0.4406
32,省,安徽省,地级市,亳州市,0.3663
33,自治区,新疆维吾尔自治区,自治州,博尔塔拉蒙古自治州,0.2012
34,省,河北省,地级市,沧州市,0.5167
35,自治区,西藏自治区,地级市,昌都市,0.1041
36,自治区,新疆维吾尔自治区,自治州,昌吉回族自治州,0.0801
37,省,海南省,不统计,不统计,0.3192
38,省,湖南省,地级市,常德市,0.501
39,省,江苏省,地级市,常州市,0.6918
40,省,辽宁省,地级市,朝阳市,0.3602
41,省,广东省,地级市,潮州市,0.3769
42,省,湖南省,地级市,郴州市,0.3992
43,省,四川省,地级市,成都市,0.5088
44,省,河北省,地级市,承德市,0.325
45,省,海南省,不统计,不统计,0.438
46,省,安徽省,地级市,池州市,0.5034
47,自治区,内蒙古自治区,地级市,赤峰市,0.1916
48,自治区,广西壮族自治区,地级市,崇左市,0.1808
49,省,安徽省,地级市,滁州市,0.4502
50,省,云南省,自治州,楚雄彝族自治州,0.196
51,省,四川省,地级市,达州市,0.3674
52,省,云南省,自治州,大理白族自治州,0.2959
53,省,辽宁省,地级市,大连市,0.4278
54,省,黑龙江省,地级市,大庆市,0.2676
55,省,山西省,地级市,大同市,0.3568
56,省,黑龙江省,地区,大兴安岭地区,0.0187
57,省,海南省,地级市,儋州市,0.3958
58,省,云南省,自治州,德宏傣族景颇族自治州,0.1448
59,省,四川省,地级市,德阳市,0.4681
60,省,山东省,地级市,德州市,0.4523
61,省,云南省,自治州,迪庆藏族自治州,0.21
62,省,海南省,不统计,不统计,0.4238
63,省,甘肃省,地级市,定西市,0.3543
64,省,海南省,不统计,不统计,0.3498
65,省,广东省,地级市,东莞市,0.5474
66,省,山东省,地级市,东营市,0.4094
67,自治区,内蒙古自治区,地级市,鄂尔多斯市,0.2445
68,省,湖北省,地级市,鄂州市,0.61
69,省,湖北省,自治州,恩施土家族苗族自治州,0.5171
70,自治区,广西壮族自治区,地级市,防城港市,0.2145
71,省,广东省,地级市,佛山市,0.5738
72,省,福建省,地级市,福州市,0.4643
73,省,辽宁省,地级市,抚顺市,0.4147
74,省,江西省,地级市,抚州市,0.3667
75,省,辽宁省,地级市,阜新市,0.3375
76,省,安徽省,地级市,阜阳市,0.4095
77,省,甘肃省,自治州,甘南藏族自治州,0.1296
78,省,四川省,自治州,甘孜藏族自治州,0.0885
79,省,江西省,地级市,赣州市,0.3296
80,自治区,宁夏回族自治区,地级市,固原市,0.4032
81,省,四川省,地级市,广安市,0.4677
82,省,四川省,地级市,广元市,0.2739
83,省,广东省,地级市,广州市,0.4448
84,自治区,广西壮族自治区,地级市,贵港市,0.2526
85,省,贵州省,地级市,贵阳市,0.4707
86,自治区,广西壮族自治区,地级市,桂林市,0.4254
87,省,青海省,自治州,果洛藏族自治州,0.0292
88,省,黑龙江省,地级市,哈尔滨市,0.2699
89,自治区,新疆维吾尔自治区,地级市,哈密市,0.0194
90,省,青海省,自治州,海北藏族自治州,0.0892
91,省,青海省,地级市,海东市,0.3701
92,省,海南省,地级市,海口市,0.5334
93,省,青海省,自治州,海南藏族自治州,0.1758
94,省,青海省,自治州,海西蒙古族藏族自治州,0.0337
95,省,河北省,地级市,邯郸市,0.5389
96,省,陕西省,地级市,汉中市,0.3197
97,省,浙江省,地级市,杭州市,0.6156
98,省,安徽省,地级市,合肥市,0.5591
99,自治区,新疆维吾尔自治区,地区,和田地区,0.0224
100,自治区,广西壮族自治区,地级市,河池市,0.2491
101,省,广东省,地级市,河源市,0.2673
102,省,山东省,地级市,菏泽市,0.4288
103,自治区,广西壮族自治区,地级市,贺州市,0.3702
104,省,河南省,地级市,鹤壁市,0.4768
105,省,黑龙江省,地级市,鹤岗市,0.2422
106,省,黑龙江省,地级市,黑河市,0.0615
107,省,河北省,地级市,衡水市,0.4493
108,省,湖南省,地级市,衡阳市,0.3801
109,省,云南省,自治州,红河哈尼族彝族自治州,0.3133
