序号,省级类,省级,地级类,地级,适宜性均值
56,省,黑龙江省,地区,大兴安岭地区,0.0641
57,省,海南省,地级市,儋州市,0.3231
58,省,云南省,自治州,德宏傣族景颇族自治州,0.1508
59,省,四川省,地级市,德阳市,0.4714
60,省,山东省,地级市,德州市,0.4632
61,省,云南省,自治州,迪庆藏族自治州,0.2011
62,省,海南省,不统计,不统计,0.3857
63,省,甘肃省,地级市,定西市,0.3342
64,省,海南省,不统计,不统计,0.4367
65,省,广东省,地级市,东莞市,0.3697
66,省,山东省,地级市,东营市,0.3991
67,自治区,内蒙古自治区,地级市,鄂尔多斯市,0.2523
68,省,湖北省,地级市,鄂州市,0.5207
69,省,湖北省,自治州,恩施土家族苗族自治州,0.3793
70,自治区,广西壮族自治区,地级市,防城港市,0.1731
71,省,广东省,地级市,佛山市,0.4749
72,省,福建省,地级市,福州市,0.4181
73,省,辽宁省,地级市,抚顺市,0.3861
74,省,江西省,地级市,抚州市,0.3374
75,省,辽宁省,地级市,阜新市,0.3192
76,省,安徽省,地级市,阜阳市,0.4367
77,省,甘肃省,自治州,甘南藏族自治州,0.1656
78,省,四川省,自治州,甘孜藏族自治州,0.1025
79,省,江西省,地级市,赣州市,0.3635
80,自治区,宁夏回族自治区,地级市,固原市,0.3568
81,省,四川省,地级市,广安市,0.5148
82,省,四川省,地级市,广元市,0.3257
83,省,广东省,地级市,广州市,0.3712
84,自治区,广西壮族自治区,地级市,贵港市,0.4481
85,省,贵州省,地级市,贵阳市,0.5614
86,自治区,广西壮族自治区,地级市,桂林市,0.4247
87,省,青海省,自治州,果洛藏族自治州,0.0382
88,省,黑龙江省,地级市,哈尔滨市,0.296
89,自治区,新疆维吾尔自治区,地级市,哈密市,0.0321
90,省,青海省,自治州,海北藏族自治州,0.0443
91,省,青海省,地级市,海东市,0.3281
92,省,海南省,地级市,海口市,0.4685
93,省,青海省,自治州,海南藏族自治州,0.1582
94,省,青海省,自治州,海西蒙古族藏族自治州,0.0245
95,省,河北省,地级市,邯郸市,0.4782
96,省,陕西省,地级市,汉中市,0.328
97,省,浙江省,地级市,杭州市,0.4839
98,省,安徽省,地级市,合肥市,0.4509
99,自治区,新疆维吾尔自治区,地区,和田地区,0.033
100,自治区,广西壮族自治区,地级市,河池市,0.3353
101,省,广东省,地级市,河源市,0.3202
102,省,山东省,地级市,菏泽市,0.4257
103,自治区,广西壮族自治区,地级市,贺州市,0.4163
104,省,河南省,地级市,鹤壁市,0.4252
105,省,黑龙江省,地级市,鹤岗市,0.2392
106,省,黑龙江省,地级市,黑河市,0.1263
107,省,河北省,地级市,衡水市,0.4219
108,省,湖南省,地级市,衡阳市,0.4268
109,省,云南省,自治州,红河哈尼族彝族自治州,0.3051
110,自治区,内蒙古自治区,地级市,呼和浩特市,0.2852
111,自治区,内蒙古自治区,地级市,呼伦贝尔市,0.0777
112,自治区,新疆维吾尔自治区,不统计,不统计,0.165
113,省,辽宁省,地级市,葫芦岛市,0.375
114,省,浙江省,地级市,湖州市,0.6414
115,省,湖南省,地级市,怀化市,0.3708
116,省,江苏省,地级市,淮安市,0.4209
117,省,安徽省,地级市,淮北市,0.4638
118,省,安徽省,地级市,淮南市,0.4173
119,省,湖北省,地级市,黄冈市,0.3827
120,省,青海省,自治州,黄南藏族自治州,0.127
121,省,安徽省,地级市,黄山市,0.3433
122,省,湖北省,地级市,黄石市,0.4217
123,省,广东省,地级市,惠州市,0.2895
124,省,黑龙江省,地级市,鸡西市,0.2887
125,省,江西省,地级市,吉安市,0.3264
126,省,吉林省,地级市,吉林市,0.3388
127,省,山东省,地级市,济南市,0.5119
128,省,河南省,不统计,不统计,0.3628
129,省,黑龙江省,地级市,佳木斯市,0.2513
130,省,浙江省,地级市,嘉兴市,0.5981
131,省,甘肃省,地级市,嘉峪关市,0.182
132,省,广东省,地级市,江门市,0.4069
133,省,河南省,地级市,焦作市,0.4642
134,省,广东省,地级市,揭阳市,0.4359
135,省,甘肃省,地级市,金昌市,0.1688
136,省,浙江省,地级市,金华市,0.5687
137,省,辽宁省,地级市,锦州市,0.3881
138,省,山西省,地级市,晋城市,0.4012
139,省,山西省,地级市,晋中市,0.4165
140,省,湖北省,地级市,荆门市,0.3508
141,省,湖北省,地级市,荆州市,0.3804
142,省,江西省,地级市,景德镇市,0.3493
143,省,江西省,地级市,九江市,0.3695
144,省,甘肃省,地级市,酒泉市,0.0331
145,自治区,新疆维吾尔自治区,地区,喀什地区,0.0692
146,省,河南省,地级市,开封市,0.3714
147,自治区,新疆维吾尔自治区,不统计,不统计,0.347
148,自治区,新疆维吾尔自治区,地级市,克拉玛依市,0.1455
149,自治区,新疆维吾尔自治区,自治州,克孜勒苏柯尔克孜自治州,0.069
150,省,云南省,地级市,昆明市,0.3685
151,自治区,新疆维吾尔自治区,不统计,不统计,0.1048
152,自治区,西藏自治区,地级市,拉萨市,0.1077
153,自治区,广西壮族自治区,地级市,来宾市,0.449
154,省,甘肃省,地级市,兰州市,0.413
155,省,河北省,地级市,廊坊市,0.6256
156,省,海南省,不统计,不统计,0.3535
157,省,四川省,地级市,乐山市,0.4065
158,省,云南省,地级市,丽江市,0.2595
159,省,浙江省,地级市,丽水市,0.4068
160,省,江苏省,地级市,连云港市,0.5513
161,省,四川省,自治州,凉山彝族自治州,0.2569
162,省,辽宁省,地级市,辽阳市,0.5615
163,省,吉林省,地级市,辽源市,0.3709
164,省,山东省,地级市,聊城市,0.4895
165,自治区,西藏自治区,地级市,林芝市,0.0977
166,省,云南省,地级市,临沧市,0.2238
167,省,山西省,地级市,临汾市,0.3821
168,省,海南省,不统计,不统计,0.3884
169,省,甘肃省,自治州,临夏回族自治州,0.418
170,省,山东省,地级市,临沂市,0.5409
171,省,海南省,不统计,不统计,0.4783
172,自治区,广西壮族自治区,地级市,柳州市,0.446
173,省,安徽省,地级市,六安市,0.3733
174,省,贵州省,地级市,六盘水市,0.4477
175,省,福建省,地级市,龙岩市,0.3805
176,省,甘肃省,地级市,陇南市,0.3061
177,省,湖南省,地级市,娄底市,0.4347
178,省,四川省,地级市,泸州市,0.4167
179,省,河南省,地级市,洛阳市,0.3642
180,省,河南省,地级市,漯河市,0.3712
181,省,山西省,地级市,吕梁市,0.3897
182,省,安徽省,地级市,马鞍山市,0.5623
183,省,广东省,地级市,茂名市,0.3458
184,省,四川省,地级市,眉山市,0.4771
185,省,广东省,地级市,梅州市,0.3177
186,省,四川省,地级市,绵阳市,0.3081
187,省,黑龙江省,地级市,牡丹江市,0.2432
188,自治区,西藏自治区,地级市,那曲市,0.0189
189,省,江西省,地级市,南昌市,0.4717
190,省,四川省,地级市,南充市,0.475
191,省,江苏省,地级市,南京市,0.5953
192,自治区,广西壮族自治区,地级市,南宁市,0.3722
193,省,福建省,地级市,南平市,0.3631
194,省,江苏省,地级市,南通市,0.5799
195,省,河南省,地级市,南阳市,0.3334
196,省,四川省,地级市,内江市,0.5047
197,省,浙江省,地级市,宁波市,0.544
198,省,福建省,地级市,宁德市,0.3743
199,省,云南省,自治州,怒江傈僳族自治州,0.2617
200,省,四川省,地级市,攀枝花市,0.234
201,省,辽宁省,地级市,盘锦市,0.5184
202,省,河南省,地级市,平顶山市,0.3843
203,省,甘肃省,地级市,平凉市,0.3915
204,省,江西省,地级市,萍乡市,0.4381
205,省,福建省,地级市,莆田市,0.417
206,省,河南省,地级市,濮阳市,0.4975
207,省,云南省,地级市,普洱市,0.1392
208,省,黑龙江省,地级市,七台河市,0.2878
209,省,黑龙江省,地级市,齐齐哈尔市,0.2508
210,省,湖北省,不统计,不统计,0.4242
211,省,贵州省,自治州,黔东南苗族侗族自治州,0.4211
212,省,贵州省,自治州,黔南布依族苗族自治州,0.4608
213,省,贵州省,自治州,黔西南布依族苗族自治州,0.4168
214,自治区,广西壮族自治区,地级市,钦州市,0.2993
215,省,河北省,地级市,秦皇岛市,0.4371
216,省,山东省,地级市,青岛市,0.5274
217,省,广东省,地级市,清远市,0.4179
218,省,甘肃省,地级市,庆阳市,0.4085
219,省,海南省,不统计,不统计,0.348
220,省,海南省,不统计,不统计,0.1411
221,省,云南省,地级市,曲靖市,0.3778
222,省,浙江省,地级市,衢州市,0.4268
223,省,福建省,地级市,泉州市,0.4642
224,自治区,西藏自治区,地级市,日喀则市,0.0488
225,省,山东省,地级市,日照市,0.5173
226,省,河南省,地级市,三门峡市,0.3796
227,省,福建省,地级市,三明市,0.3666
228,省,海南省,地级市,三亚市,0.4028
229,省,福建省,地级市,厦门市,0.5552
230,自治区,西藏自治区,地级市,山南市,0.1161
231,省,广东省,地级市,汕头市,0.519
232,省,广东省,地级市,汕尾市,0.3928
233,省,陕西省,地级市,商洛市,0.3302
234,省,河南省,地级市,商丘市,0.3732
235,直辖市,上海市,不统计,不统计,0.5598
236,省,江西省,地级市,上饶市,0.3604
237,省,广东省,地级市,韶关市,0.3909
238,省,湖南省,地级市,邵阳市,0.4278
239,省,浙江省,地级市,绍兴市,0.5991
240,省,广东省,地级市,深圳市,0.304
241,省,湖北省,不统计,不统计,0.2407
242,省,辽宁省,地级市,沈阳市,0.4661
243,省,湖北省,地级市,十堰市,0.3027
244,自治区,新疆维吾尔自治区,不统计,不统计,0.5034
245,省,河北省,地级市,石家庄市,0.4977
246,自治区,宁夏回族自治区,地级市,石嘴山市,0.2569
247,自治区,新疆维吾尔自治区,不统计,不统计,0.2408
248,省,黑龙江省,地级市,双鸭山市,0.2675
249,省,山西省,地级市,朔州市,0.3854
250,省,吉林省,地级市,四平市,0.2964
251,省,吉林省,地级市,松原市,0.2941
252,省,江苏省,地级市,苏州市,0.6133
253,省,江苏省,地级市,宿迁市,0.4394
254,省,安徽省,地级市,宿州市,0.3593
255,省,黑龙江省,地级市,绥化市,0.256
256,省,湖北省,地级市,随州市,0.3156
257,省,四川省,地级市,遂宁市,0.5031
258,省,台湾省,不统计,不统计,0.1663
259,省,浙江省,地级市,台州市,0.4866
260,省,山西省,地级市,太原市,0.4622
261,省,山东省,地级市,泰安市,0.4715
262,省,江苏省,地级市,泰州市,0.6122
263,省,河北省,地级市,唐山市,0.5638
264,直辖市,天津市,不统计,不统计,0.6085
265,省,湖北省,不统计,不统计,0.3911
266,省,甘肃省,地级市,天水市,0.3655
267,省,辽宁省,地级市,铁岭市,0.3543
268,省,吉林省,地级市,通化市,0.3628
269,自治区,内蒙古自治区,地级市,通辽市,0.2205
270,省,陕西省,地级市,铜川市,0.4088
271,省,安徽省,地级市,铜陵市,0.4761
272,省,贵州省,地级市,铜仁市,0.4373
273,自治区,新疆维吾尔自治区,不统计,不统计,0.1483
274,自治区,新疆维吾尔自治区,地级市,吐鲁番市,0.0268
275,省,海南省,不统计,不统计,0.3358
276,省,海南省,不统计,不统计,0.3564
277,省,山东省,地级市,威海市,0.4436
278,省,山东省,地级市,潍坊市,0.511
279,省,陕西省,地级市,渭南市,0.4351
280,省,浙江省,地级市,温州市,0.4874
281,省,海南省,不统计,不统计,0.3681
282,省,云南省,自治州,文山壮族苗族自治州,0.3441
283,自治区,内蒙古自治区,地级市,乌海市,0.3566
284,自治区,内蒙古自治区,地级市,乌兰察布市,0.1408
285,自治区,新疆维吾尔自治区,地级市,乌鲁木齐市,0.1669
286,省,江苏省,地级市,无锡市,0.644
287,省,安徽省,地级市,芜湖市,0.5835
288,自治区,宁夏回族自治区,地级市,吴忠市,0.3074
289,自治区,广西壮族自治区,地级市,梧州市,0.319
290,自治区,新疆维吾尔自治区,不统计,不统计,0.3054
291,省,海南省,不统计,不统计,0.1119
292,省,湖北省,地级市,武汉市,0.4931
293,省,甘肃省,地级市,武威市,0.1441
294,省,陕西省,地级市,西安市,0.4514
295,省,青海省,地级市,西宁市,0.2762
296,省,云南省,自治州,西双版纳傣族自治州,0.0811
297,自治区,内蒙古自治区,盟,锡林郭勒盟,0.0794
298,省,湖北省,不统计,不统计,0.3939
299,省,湖北省,地级市,咸宁市,0.364
300,省,陕西省,地级市,咸阳市,0.4707
301,特别行政区,香港特别行政区,不统计,不统计,0.2286
302,省,湖南省,地级市,湘潭市,0.4588
303,省,湖南省,自治州,湘西土家族苗族自治州,0.3661
304,省,湖北省,地级市,襄阳市,0.3229
305,省,湖北省,地级市,孝感市,0.4204
306,省,山西省,地级市,忻州市,0.3557
307,省,河南省,地级市,新乡市,0.4065
308,省,江西省,地级市,新余市,0.4091
309,省,河南省,地级市,信阳市,0.3358
310,省,河北省,地级市,邢台市,0.4735
311,自治区,内蒙古自治区,盟,兴安盟,0.1767
312,省,河南省,地级市,许昌市,0.4255
313,省,安徽省,地级市,宣城市,0.4533
314,省,四川省,地级市,雅安市,0.3264
315,省,山东省,地级市,烟台市,0.4135
316,省,陕西省,地级市,延安市,0.3896
317,省,吉林省,自治州,延边朝鲜族自治州,0.2499
318,省,江苏省,地级市,盐城市,0.4815
319,省,江苏省,地级市,扬州市,0.5359
320,省,广东省,地级市,阳江市,0.3013
321,省,山西省,地级市,阳泉市,0.4213
322,省,黑龙江省,地级市,伊春市,0.1431
323,自治区,新疆维吾尔自治区,自治州,伊犁哈萨克自治州,0.1965
324,省,四川省,地级市,宜宾市,0.4093
325,省,湖北省,地级市,宜昌市,0.3808
326,省,江西省,地级市,宜春市,0.3946
327,省,湖南省,地级市,益阳市,0.3759
328,自治区,宁夏回族自治区,地级市,银川市,0.4109
329,省,江西省,地级市,鹰潭市,0.3858
330,省,辽宁省,地级市,营口市,0.4483
331,省,湖南省,地级市,永州市,0.4207
332,省,陕西省,地级市,榆林市,0.3835
333,自治区,广西壮族自治区,地级市,玉林市,0.3249
334,省,青海省,自治州,玉树藏族自治州,0.0307
335,省,云南省,地级市,玉溪市,0.3047
336,省,湖南省,地级市,岳阳市,0.3707
337,省,广东省,地级市,云浮市,0.3282
338,省,山西省,地级市,运城市,0.3782
339,省,山东省,地级市,枣庄市,0.5385
340,省,广东省,地级市,湛江市,0.4049
341,省,湖南省,地级市,张家界市,0.3649
342,省,河北省,地级市,张家口市,0.275
343,省,甘肃省,地级市,张掖市,0.1056
344,省,福建省,地级市,漳州市,0.421
345,省,吉林省,地级市,长春市,0.395
346,省,湖南省,地级市,长沙市,0.4648
347,省,山西省,地级市,长治市,0.4217
348,省,云南省,地级市,昭通市,0.3659
349,省,广东省,地级市,肇庆市,0.3656
350,省,江苏省,地级市,镇江市,0.6291
351,省,广东省,地级市,中山市,0.4221
352,自治区,宁夏回族自治区,地级市,中卫市,0.2682
353,直辖市,重庆市,不统计,不统计,0.4447
354,省,浙江省,地级市,舟山市,0.0053
355,省,河南省,地级市,周口市,0.3385
356,省,广东省,地级市,珠海市,0.3454
357,省,湖南省,地级市,株洲市,0.3986
358,省,河南省,地级市,驻马店市,0.3213
359,省,四川省,地级市,资阳市,0.4895
360,省,山东省,地级市,淄博市,0.4955
361,省,四川省,地级市,自贡市,0.4628
362,省,贵州省,地级市,遵义市,0.4713
363,省,海南省,地级市,三沙市,0.0053
364,省,山东省,地级市,济宁市,0.4727
365,自治区,新疆维吾尔自治区,不统计,不统计,0.1202
366,省,江苏省,地级市,徐州市,0.5159
367,自治区,新疆维吾尔自治区,不统计,不统计,0.0875
368,省,辽宁省,地级市,丹东市,0.4097
369,省,河南省,地级市,郑州市,0.5116
370,自治区,新疆维吾尔自治区,不统计,不统计,0.1916
371,自治区,新疆维吾尔自治区,地区,塔城地区,0.1233
372,省,四川省,自治州,阿坝藏族羌族自治州,0.1293
