序号,省级类,省级,地级类,地级,适宜性均值
1,自治区,新疆维吾尔自治区,地区,阿克苏地区,0.1036
2,自治区,新疆维吾尔自治区,不统计,不统计,0.1331
3,自治区,内蒙古自治区,盟,阿拉善盟,0.0434
4,自治区,新疆维吾尔自治区,地区,阿勒泰地区,0.0924
5,自治区,西藏自治区,地区,阿里地区,0.0071
6,省,陕西省,地级市,安康市,0.3181
7,省,安徽省,地级市,安庆市,0.3916
8,省,贵州省,地级市,安顺市,0.5101
9,省,河南省,地级市,安阳市,0.4281
10,省,辽宁省,地级市,鞍山市,0.4787
11,特别行政区,澳门特别行政区,不统计,不统计,0.1416
12,自治区,内蒙古自治区,地级市,巴彦淖尔市,0.0803
13,自治区,新疆维吾尔自治区,自治州,巴音郭楞蒙古自治州,0.0304
14,省,四川省,地级市,巴中市,0.3809
15,省,吉林省,地级市,白城市,0.2122
16,省,海南省,不统计,不统计,0.117
17,省,吉林省,地级市,白山市,0.2651
18,省,甘肃省,地级市,白银市,0.2656
19,自治区,广西壮族自治区,地级市,百色市,0.2463
20,省,安徽省,地级市,蚌埠市,0.3654
21,自治区,内蒙古自治区,地级市,包头市,0.1542
22,省,陕西省,地级市,宝鸡市,0.3453
23,省,河北省,地级市,保定市,0.4638
24,省,云南省,地级市,保山市,0.2796
25,省,海南省,不统计,不统计,0.2069
26,自治区,广西壮族自治区,地级市,北海市,0.3921
27,直辖市,北京市,不统计,不统计,0.4944
28,自治区,新疆维吾尔自治区,不统计,不统计,0.2096
29,省,辽宁省,地级市,本溪市,0.4026
30,省,贵州省,地级市,毕节市,0.4271
31,省,山东省,地级市,滨州市,0.4608
32,省,安徽省,地级市,亳州市,0.3966
33,自治区,新疆维吾尔自治区,自治州,博尔塔拉蒙古自治州,0.1302
34,省,河北省,地级市,沧州市,0.516
35,自治区,西藏自治区,地级市,昌都市,0.1104
36,自治区,新疆维吾尔自治区,自治州,昌吉回族自治州,0.1056
37,省,海南省,不统计,不统计,0.3453
38,省,湖南省,地级市,常德市,0.381
39,省,江苏省,地级市,常州市,0.6369
40,省,辽宁省,地级市,朝阳市,0.3715
41,省,广东省,地级市,潮州市,0.3771
42,省,湖南省,地级市,郴州市,0.3865
43,省,四川省,地级市,成都市,0.5206
44,省,河北省,地级市,承德市,0.3016
45,省,海南省,不统计,不统计,0.3744
46,省,安徽省,地级市,池州市,0.3611
47,自治区,内蒙古自治区,地级市,赤峰市,0.2266
48,自治区,广西壮族自治区,地级市,崇左市,0.2544
49,省,安徽省,地级市,滁州市,0.3892
50,省,云南省,自治州,楚雄彝族自治州,0.2124
51,省,四川省,地级市,达州市,0.4341
52,省,云南省,自治州,大理白族自治州,0.2993
53,省,辽宁省,地级市,大连市,0.4076
54,省,黑龙江省,地级市,大庆市,0.2917
55,省,山西省,地级市,大同市,0.3652
