序号,省级类,省级,地级类,地级,适宜性均值
1,自治区,新疆维吾尔自治区,地区,阿克苏地区,0.0874
2,自治区,新疆维吾尔自治区,不统计,不统计,0.0924
3,自治区,内蒙古自治区,盟,阿拉善盟,0.0259
4,自治区,新疆维吾尔自治区,地区,阿勒泰地区,0.1059
5,自治区,西藏自治区,地区,阿里地区,0.0112
6,省,陕西省,地级市,安康市,0.3655
7,省,安徽省,地级市,安庆市,0.5598
8,省,贵州省,地级市,安顺市,0.4849
9,省,河南省,地级市,安阳市,0.413
10,省,辽宁省,地级市,鞍山市,0.4334
11,特别行政区,澳门特别行政区,不统计,不统计,0.3115
12,自治区,内蒙古自治区,地级市,巴彦淖尔市,0.081
13,自治区,新疆维吾尔自治区,自治州,巴音郭楞蒙古自治州,0.0183
14,省,四川省,地级市,巴中市,0.4028
15,省,吉林省,地级市,白城市,0.232
16,省,海南省,不统计,不统计,0.2439
17,省,吉林省,地级市,白山市,0.3068
18,省,甘肃省,地级市,白银市,0.2989
19,自治区,广西壮族自治区,地级市,百色市,0.2202
20,省,安徽省,地级市,蚌埠市,0.4737
21,自治区,内蒙古自治区,地级市,包头市,0.1535
22,省,陕西省,地级市,宝鸡市,0.4262
23,省,河北省,地级市,保定市,0.4093
24,省,云南省,地级市,保山市,0.2752
25,省,海南省,不统计,不统计,0.3754
26,自治区,广西壮族自治区,地级市,北海市,0.5164
27,直辖市,北京市,不统计,不统计,0.4947
28,自治区,新疆维吾尔自治区,不统计,不统计,0.2258
29,省,辽宁省,地级市,本溪市,0.4033
30,省,贵州省,地级市,毕节市,0.4115
31,省,山东省,地级市,滨州市,0.4522
32,省,安徽省,地级市,亳州市,0.4325
33,自治区,新疆维吾尔自治区,自治州,博尔塔拉蒙古自治州,0.197
34,省,河北省,地级市,沧州市,0.4826
35,自治区,西藏自治区,地级市,昌都市,0.1148
36,自治区,新疆维吾尔自治区,自治州,昌吉回族自治州,0.0773
37,省,海南省,不统计,不统计,0.3743
38,省,湖南省,地级市,常德市,0.4637
39,省,江苏省,地级市,常州市,0.6786
40,省,辽宁省,地级市,朝阳市,0.3894
41,省,广东省,地级市,潮州市,0.4329
42,省,湖南省,地级市,郴州市,0.3975
43,省,四川省,地级市,成都市,0.4495
44,省,河北省,地级市,承德市,0.3379
45,省,海南省,不统计,不统计,0.4377
46,省,安徽省,地级市,池州市,0.5063
47,自治区,内蒙古自治区,地级市,赤峰市,0.199
48,自治区,广西壮族自治区,地级市,崇左市,0.241
49,省,安徽省,地级市,滁州市,0.5283
50,省,云南省,自治州,楚雄彝族自治州,0.2708
51,省,四川省,地级市,达州市,0.4184
52,省,云南省,自治州,大理白族自治州,0.3924
53,省,辽宁省,地级市,大连市,0.4662
54,省,黑龙江省,地级市,大庆市,0.2816
55,省,山西省,地级市,大同市,0.3586
56,省,黑龙江省,地区,大兴安岭地区,0.036
57,省,海南省,地级市,儋州市,0.3861
58,省,云南省,自治州,德宏傣族景颇族自治州,0.1016
59,省,四川省,地级市,德阳市,0.4322
60,省,山东省,地级市,德州市,0.463
61,省,云南省,自治州,迪庆藏族自治州,0.2549
62,省,海南省,不统计,不统计,0.4073
63,省,甘肃省,地级市,定西市,0.4006
64,省,海南省,不统计,不统计,0.4029
65,省,广东省,地级市,东莞市,0.6067
66,省,山东省,地级市,东营市,0.4367
67,自治区,内蒙古自治区,地级市,鄂尔多斯市,0.2938
68,省,湖北省,地级市,鄂州市,0.6078
69,省,湖北省,自治州,恩施土家族苗族自治州,0.4779
70,自治区,广西壮族自治区,地级市,防城港市,0.2161
71,省,广东省,地级市,佛山市,0.6151
72,省,福建省,地级市,福州市,0.4311
73,省,辽宁省,地级市,抚顺市,0.3996
74,省,江西省,地级市,抚州市,0.3452
75,省,辽宁省,地级市,阜新市,0.3728
76,省,安徽省,地级市,阜阳市,0.4988
77,省,甘肃省,自治州,甘南藏族自治州,0.151
78,省,四川省,自治州,甘孜藏族自治州,0.1038
79,省,江西省,地级市,赣州市,0.3344
80,自治区,宁夏回族自治区,地级市,固原市,0.4858
81,省,四川省,地级市,广安市,0.4853
82,省,四川省,地级市,广元市,0.3404
83,省,广东省,地级市,广州市,0.4277
84,自治区,广西壮族自治区,地级市,贵港市,0.3618
85,省,贵州省,地级市,贵阳市,0.5523
86,自治区,广西壮族自治区,地级市,桂林市,0.4122
87,省,青海省,自治州,果洛藏族自治州,0.0347
88,省,黑龙江省,地级市,哈尔滨市,0.2772
89,自治区,新疆维吾尔自治区,地级市,哈密市,0.0181
90,省,青海省,自治州,海北藏族自治州,0.0558
91,省,青海省,地级市,海东市,0.3226
92,省,海南省,地级市,海口市,0.5749
93,省,青海省,自治州,海南藏族自治州,0.1503
94,省,青海省,自治州,海西蒙古族藏族自治州,0.0354
95,省,河北省,地级市,邯郸市,0.483
96,省,陕西省,地级市,汉中市,0.3847
97,省,浙江省,地级市,杭州市,0.4797
98,省,安徽省,地级市,合肥市,0.61
99,自治区,新疆维吾尔自治区,地区,和田地区,0.0264
100,自治区,广西壮族自治区,地级市,河池市,0.3341
101,省,广东省,地级市,河源市,0.2659
102,省,山东省,地级市,菏泽市,0.4471
103,自治区,广西壮族自治区,地级市,贺州市,0.3563
104,省,河南省,地级市,鹤壁市,0.4064
105,省,黑龙江省,地级市,鹤岗市,0.272
106,省,黑龙江省,地级市,黑河市,0.1104
107,省,河北省,地级市,衡水市,0.4301
108,省,湖南省,地级市,衡阳市,0.4023
109,省,云南省,自治州,红河哈尼族彝族自治州,0.3104
110,自治区,内蒙古自治区,地级市,呼和浩特市,0.3355
111,自治区,内蒙古自治区,地级市,呼伦贝尔市,0.0517
112,自治区,新疆维吾尔自治区,不统计,不统计,0.1416
113,省,辽宁省,地级市,葫芦岛市,0.446
114,省,浙江省,地级市,湖州市,0.6166
115,省,湖南省,地级市,怀化市,0.3124
116,省,江苏省,地级市,淮安市,0.5071
117,省,安徽省,地级市,淮北市,0.4848
118,省,安徽省,地级市,淮南市,0.5609
119,省,湖北省,地级市,黄冈市,0.5199
120,省,青海省,自治州,黄南藏族自治州,0.1133
121,省,安徽省,地级市,黄山市,0.473
122,省,湖北省,地级市,黄石市,0.5118
123,省,广东省,地级市,惠州市,0.2945
124,省,黑龙江省,地级市,鸡西市,0.3687
125,省,江西省,地级市,吉安市,0.3523
126,省,吉林省,地级市,吉林市,0.3975
127,省,山东省,地级市,济南市,0.535
128,省,河南省,不统计,不统计,0.3009
129,省,黑龙江省,地级市,佳木斯市,0.3264
130,省,浙江省,地级市,嘉兴市,0.6071
131,省,甘肃省,地级市,嘉峪关市,0.1875
132,省,广东省,地级市,江门市,0.4424
133,省,河南省,地级市,焦作市,0.3907
134,省,广东省,地级市,揭阳市,0.4648
135,省,甘肃省,地级市,金昌市,0.188
136,省,浙江省,地级市,金华市,0.462
137,省,辽宁省,地级市,锦州市,0.4363
138,省,山西省,地级市,晋城市,0.4102
139,省,山西省,地级市,晋中市,0.47
140,省,湖北省,地级市,荆门市,0.5173
141,省,湖北省,地级市,荆州市,0.5403
142,省,江西省,地级市,景德镇市,0.4171
143,省,江西省,地级市,九江市,0.4222
144,省,甘肃省,地级市,酒泉市,0.0239
145,自治区,新疆维吾尔自治区,地区,喀什地区,0.0662
146,省,河南省,地级市,开封市,0.4065
147,自治区,新疆维吾尔自治区,不统计,不统计,0.3279
148,自治区,新疆维吾尔自治区,地级市,克拉玛依市,0.1063
149,自治区,新疆维吾尔自治区,自治州,克孜勒苏柯尔克孜自治州,0.0892
150,省,云南省,地级市,昆明市,0.3497
151,自治区,新疆维吾尔自治区,不统计,不统计,0.0752
152,自治区,西藏自治区,地级市,拉萨市,0.0986
153,自治区,广西壮族自治区,地级市,来宾市,0.3728
154,省,甘肃省,地级市,兰州市,0.3801
155,省,河北省,地级市,廊坊市,0.6242
156,省,海南省,不统计,不统计,0.4449
157,省,四川省,地级市,乐山市,0.3471
158,省,云南省,地级市,丽江市,0.3247
159,省,浙江省,地级市,丽水市,0.3679
160,省,江苏省,地级市,连云港市,0.47
161,省,四川省,自治州,凉山彝族自治州,0.2424
162,省,辽宁省,地级市,辽阳市,0.4654
163,省,吉林省,地级市,辽源市,0.4703
164,省,山东省,地级市,聊城市,0.498
165,自治区,西藏自治区,地级市,林芝市,0.1677
166,省,云南省,地级市,临沧市,0.1714
167,省,山西省,地级市,临汾市,0.3952
168,省,海南省,不统计,不统计,0.4342
169,省,甘肃省,自治州,临夏回族自治州,0.3753
170,省,山东省,地级市,临沂市,0.4931
171,省,海南省,不统计,不统计,0.6419
172,自治区,广西壮族自治区,地级市,柳州市,0.3551
173,省,安徽省,地级市,六安市,0.5465
174,省,贵州省,地级市,六盘水市,0.393
175,省,福建省,地级市,龙岩市,0.3773
176,省,甘肃省,地级市,陇南市,0.3892
177,省,湖南省,地级市,娄底市,0.401
178,省,四川省,地级市,泸州市,0.4578
179,省,河南省,地级市,洛阳市,0.3308
180,省,河南省,地级市,漯河市,0.403
181,省,山西省,地级市,吕梁市,0.4287
182,省,安徽省,地级市,马鞍山市,0.6345
183,省,广东省,地级市,茂名市,0.3989
184,省,四川省,地级市,眉山市,0.3612
185,省,广东省,地级市,梅州市,0.27
186,省,四川省,地级市,绵阳市,0.305
187,省,黑龙江省,地级市,牡丹江市,0.2785
188,自治区,西藏自治区,地级市,那曲市,0.0272
189,省,江西省,地级市,南昌市,0.5247
190,省,四川省,地级市,南充市,0.4523
191,省,江苏省,地级市,南京市,0.6734
192,自治区,广西壮族自治区,地级市,南宁市,0.36
193,省,福建省,地级市,南平市,0.3011
194,省,江苏省,地级市,南通市,0.5892
195,省,河南省,地级市,南阳市,0.3877
196,省,四川省,地级市,内江市,0.4372
197,省,浙江省,地级市,宁波市,0.4943
198,省,福建省,地级市,宁德市,0.4047
199,省,云南省,自治州,怒江傈僳族自治州,0.3374
200,省,四川省,地级市,攀枝花市,0.1955
201,省,辽宁省,地级市,盘锦市,0.4971
202,省,河南省,地级市,平顶山市,0.3818
203,省,甘肃省,地级市,平凉市,0.4927
204,省,江西省,地级市,萍乡市,0.4088
205,省,福建省,地级市,莆田市,0.4493
206,省,河南省,地级市,濮阳市,0.487
207,省,云南省,地级市,普洱市,0.0746
208,省,黑龙江省,地级市,七台河市,0.3234
209,省,黑龙江省,地级市,齐齐哈尔市,0.2122
210,省,湖北省,不统计,不统计,0.5715
211,省,贵州省,自治州,黔东南苗族侗族自治州,0.3359
212,省,贵州省,自治州,黔南布依族苗族自治州,0.4574
213,省,贵州省,自治州,黔西南布依族苗族自治州,0.364
214,自治区,广西壮族自治区,地级市,钦州市,0.3667
215,省,河北省,地级市,秦皇岛市,0.4815
216,省,山东省,地级市,青岛市,0.5198
217,省,广东省,地级市,清远市,0.3629
218,省,甘肃省,地级市,庆阳市,0.4968
219,省,海南省,不统计,不统计,0.574
220,省,海南省,不统计,不统计,0.3236
221,省,云南省,地级市,曲靖市,0.2856
222,省,浙江省,地级市,衢州市,0.4013
223,省,福建省,地级市,泉州市,0.5007
224,自治区,西藏自治区,地级市,日喀则市,0.0606
225,省,山东省,地级市,日照市,0.4732
226,省,河南省,地级市,三门峡市,0.3638
227,省,福建省,地级市,三明市,0.3396
228,省,海南省,地级市,三亚市,0.5056
229,省,福建省,地级市,厦门市,0.6011
230,自治区,西藏自治区,地级市,山南市,0.1493
231,省,广东省,地级市,汕头市,0.6343
232,省,广东省,地级市,汕尾市,0.3969
233,省,陕西省,地级市,商洛市,0.3554
234,省,河南省,地级市,商丘市,0.4071
235,直辖市,上海市,不统计,不统计,0.5795
236,省,江西省,地级市,上饶市,0.3921
237,省,广东省,地级市,韶关市,0.3577
238,省,湖南省,地级市,邵阳市,0.3958
239,省,浙江省,地级市,绍兴市,0.4784
240,省,广东省,地级市,深圳市,0.545
241,省,湖北省,不统计,不统计,0.4036
242,省,辽宁省,地级市,沈阳市,0.4875
243,省,湖北省,地级市,十堰市,0.3848
244,自治区,新疆维吾尔自治区,不统计,不统计,0.5141
245,省,河北省,地级市,石家庄市,0.4954
246,自治区,宁夏回族自治区,地级市,石嘴山市,0.252
247,自治区,新疆维吾尔自治区,不统计,不统计,0.3231
248,省,黑龙江省,地级市,双鸭山市,0.3339
249,省,山西省,地级市,朔州市,0.4233
250,省,吉林省,地级市,四平市,0.4199
251,省,吉林省,地级市,松原市,0.3202
252,省,江苏省,地级市,苏州市,0.656
253,省,江苏省,地级市,宿迁市,0.4594
254,省,安徽省,地级市,宿州市,0.4053
255,省,黑龙江省,地级市,绥化市,0.217
256,省,湖北省,地级市,随州市,0.4938
257,省,四川省,地级市,遂宁市,0.4441
258,省,台湾省,不统计,不统计,0.27
259,省,浙江省,地级市,台州市,0.4492
260,省,山西省,地级市,太原市,0.5028
261,省,山东省,地级市,泰安市,0.5034
262,省,江苏省,地级市,泰州市,0.6463
263,省,河北省,地级市,唐山市,0.5685
264,直辖市,天津市,不统计,不统计,0.6196
265,省,湖北省,不统计,不统计,0.5356
266,省,甘肃省,地级市,天水市,0.4635
267,省,辽宁省,地级市,铁岭市,0.4229
268,省,吉林省,地级市,通化市,0.4307
269,自治区,内蒙古自治区,地级市,通辽市,0.2157
270,省,陕西省,地级市,铜川市,0.439
271,省,安徽省,地级市,铜陵市,0.6159
272,省,贵州省,地级市,铜仁市,0.4285
273,自治区,新疆维吾尔自治区,不统计,不统计,0.0882
274,自治区,新疆维吾尔自治区,地级市,吐鲁番市,0.0093
275,省,海南省,不统计,不统计,0.3596
276,省,海南省,不统计,不统计,0.6156
277,省,山东省,地级市,威海市,0.492
278,省,山东省,地级市,潍坊市,0.47
279,省,陕西省,地级市,渭南市,0.4147
280,省,浙江省,地级市,温州市,0.4554
281,省,海南省,不统计,不统计,0.6592
282,省,云南省,自治州,文山壮族苗族自治州,0.2962
283,自治区,内蒙古自治区,地级市,乌海市,0.3242
284,自治区,内蒙古自治区,地级市,乌兰察布市,0.1303
285,自治区,新疆维吾尔自治区,地级市,乌鲁木齐市,0.1471
286,省,江苏省,地级市,无锡市,0.6868
287,省,安徽省,地级市,芜湖市,0.6498
288,自治区,宁夏回族自治区,地级市,吴忠市,0.3293
289,自治区,广西壮族自治区,地级市,梧州市,0.2545
290,自治区,新疆维吾尔自治区,不统计,不统计,0.2486
291,省,海南省,不统计,不统计,0.3055
292,省,湖北省,地级市,武汉市,0.6015
293,省,甘肃省,地级市,武威市,0.1327
294,省,陕西省,地级市,西安市,0.459
295,省,青海省,地级市,西宁市,0.268
296,省,云南省,自治州,西双版纳傣族自治州,0.026
297,自治区,内蒙古自治区,盟,锡林郭勒盟,0.0589
298,省,湖北省,不统计,不统计,0.5435
299,省,湖北省,地级市,咸宁市,0.4151
300,省,陕西省,地级市,咸阳市,0.4703
301,特别行政区,香港特别行政区,不统计,不统计,0.2798
302,省,湖南省,地级市,湘潭市,0.4494
303,省,湖南省,自治州,湘西土家族苗族自治州,0.4092
304,省,湖北省,地级市,襄阳市,0.4742
305,省,湖北省,地级市,孝感市,0.548
306,省,山西省,地级市,忻州市,0.4103
307,省,河南省,地级市,新乡市,0.389
308,省,江西省,地级市,新余市,0.4269
309,省,河南省,地级市,信阳市,0.5099
310,省,河北省,地级市,邢台市,0.4913
311,自治区,内蒙古自治区,盟,兴安盟,0.1503
312,省,河南省,地级市,许昌市,0.4177
313,省,安徽省,地级市,宣城市,0.5081
314,省,四川省,地级市,雅安市,0.2851
315,省,山东省,地级市,烟台市,0.4713
316,省,陕西省,地级市,延安市,0.4139
317,省,吉林省,自治州,延边朝鲜族自治州,0.3092
318,省,江苏省,地级市,盐城市,0.4916
319,省,江苏省,地级市,扬州市,0.6074
320,省,广东省,地级市,阳江市,0.3432
321,省,山西省,地级市,阳泉市,0.4824
322,省,黑龙江省,地级市,伊春市,0.1144
323,自治区,新疆维吾尔自治区,自治州,伊犁哈萨克自治州,0.2568
324,省,四川省,地级市,宜宾市,0.4109
325,省,湖北省,地级市,宜昌市,0.4793
326,省,江西省,地级市,宜春市,0.388
327,省,湖南省,地级市,益阳市,0.4421
328,自治区,宁夏回族自治区,地级市,银川市,0.3846
329,省,江西省,地级市,鹰潭市,0.3894
330,省,辽宁省,地级市,营口市,0.4377
331,省,湖南省,地级市,永州市,0.3954
332,省,陕西省,地级市,榆林市,0.4459
333,自治区,广西壮族自治区,地级市,玉林市,0.3545
334,省,青海省,自治州,玉树藏族自治州,0.0347
335,省,云南省,地级市,玉溪市,0.2699
336,省,湖南省,地级市,岳阳市,0.4515
337,省,广东省,地级市,云浮市,0.2819
338,省,山西省,地级市,运城市,0.3559
339,省,山东省,地级市,枣庄市,0.5093
340,省,广东省,地级市,湛江市,0.5129
341,省,湖南省,地级市,张家界市,0.4515
342,省,河北省,地级市,张家口市,0.2591
343,省,甘肃省,地级市,张掖市,0.1046
344,省,福建省,地级市,漳州市,0.4452
345,省,吉林省,地级市,长春市,0.4321
346,省,湖南省,地级市,长沙市,0.4714
347,省,山西省,地级市,长治市,0.4563
348,省,云南省,地级市,昭通市,0.346
349,省,广东省,地级市,肇庆市,0.2875
350,省,江苏省,地级市,镇江市,0.6959
351,省,广东省,地级市,中山市,0.648
352,自治区,宁夏回族自治区,地级市,中卫市,0.2996
353,直辖市,重庆市,不统计,不统计,0.4708
354,省,浙江省,地级市,舟山市,0.0067
355,省,河南省,地级市,周口市,0.412
356,省,广东省,地级市,珠海市,0.5103
357,省,湖南省,地级市,株洲市,0.3992
358,省,河南省,地级市,驻马店市,0.4325
359,省,四川省,地级市,资阳市,0.4173
360,省,山东省,地级市,淄博市,0.5053
361,省,四川省,地级市,自贡市,0.4432
362,省,贵州省,地级市,遵义市,0.4765
363,省,海南省,地级市,三沙市,0.0067
364,省,山东省,地级市,济宁市,0.5039
365,自治区,新疆维吾尔自治区,不统计,不统计,0.0473
366,省,江苏省,地级市,徐州市,0.4895
367,自治区,新疆维吾尔自治区,不统计,不统计,0.014
368,省,辽宁省,地级市,丹东市,0.4258
369,省,河南省,地级市,郑州市,0.5003
370,自治区,新疆维吾尔自治区,不统计,不统计,0.2739
371,自治区,新疆维吾尔自治区,地区,塔城地区,0.1589
372,省,四川省,自治州,阿坝藏族羌族自治州,0.1307
