序号,省级类,省级,地级类,地级,适宜性均值
1,自治区,新疆维吾尔自治区,地区,阿克苏地区,0.0891
2,自治区,新疆维吾尔自治区,不统计,不统计,0.1502
3,自治区,内蒙古自治区,盟,阿拉善盟,0.0396
4,自治区,新疆维吾尔自治区,地区,阿勒泰地区,0.0802
5,自治区,西藏自治区,地区,阿里地区,0.0066
6,省,陕西省,地级市,安康市,0.3361
7,省,安徽省,地级市,安庆市,0.5115
8,省,贵州省,地级市,安顺市,0.4675
9,省,河南省,地级市,安阳市,0.4906
10,省,辽宁省,地级市,鞍山市,0.4705
11,特别行政区,澳门特别行政区,不统计,不统计,0.2132
12,自治区,内蒙古自治区,地级市,巴彦淖尔市,0.0928
13,自治区,新疆维吾尔自治区,自治州,巴音郭楞蒙古自治州,0.0257
14,省,四川省,地级市,巴中市,0.3639
15,省,吉林省,地级市,白城市,0.2372
16,省,海南省,不统计,不统计,0.115
17,省,吉林省,地级市,白山市,0.2863
18,省,甘肃省,地级市,白银市,0.2558
19,自治区,广西壮族自治区,地级市,百色市,0.2714
20,省,安徽省,地级市,蚌埠市,0.3885
21,自治区,内蒙古自治区,地级市,包头市,0.1532
22,省,陕西省,地级市,宝鸡市,0.3266
23,省,河北省,地级市,保定市,0.4628
24,省,云南省,地级市,保山市,0.2787
25,省,海南省,不统计,不统计,0.2368
26,自治区,广西壮族自治区,地级市,北海市,0.4387
27,直辖市,北京市,不统计,不统计,0.4882
28,自治区,新疆维吾尔自治区,不统计,不统计,0.3074
29,省,辽宁省,地级市,本溪市,0.41
30,省,贵州省,地级市,毕节市,0.3798
31,省,山东省,地级市,滨州市,0.425
32,省,安徽省,地级市,亳州市,0.433
33,自治区,新疆维吾尔自治区,自治州,博尔塔拉蒙古自治州,0.1127
34,省,河北省,地级市,沧州市,0.5208
35,自治区,西藏自治区,地级市,昌都市,0.1048
36,自治区,新疆维吾尔自治区,自治州,昌吉回族自治州,0.1027
37,省,海南省,不统计,不统计,0.2517
38,省,湖南省,地级市,常德市,0.4559
39,省,江苏省,地级市,常州市,0.6355
40,省,辽宁省,地级市,朝阳市,0.3332
41,省,广东省,地级市,潮州市,0.3829
42,省,湖南省,地级市,郴州市,0.3486
43,省,四川省,地级市,成都市,0.5106
44,省,河北省,地级市,承德市,0.2998
45,省,海南省,不统计,不统计,0.3885
46,省,安徽省,地级市,池州市,0.4773
47,自治区,内蒙古自治区,地级市,赤峰市,0.2148
48,自治区,广西壮族自治区,地级市,崇左市,0.296
49,省,安徽省,地级市,滁州市,0.428
50,省,云南省,自治州,楚雄彝族自治州,0.2262
51,省,四川省,地级市,达州市,0.437
52,省,云南省,自治州,大理白族自治州,0.2806
53,省,辽宁省,地级市,大连市,0.4239
54,省,黑龙江省,地级市,大庆市,0.2738
55,省,山西省,地级市,大同市,0.3719
56,省,黑龙江省,地区,大兴安岭地区,0.0706
57,省,海南省,地级市,儋州市,0.2992
58,省,云南省,自治州,德宏傣族景颇族自治州,0.1976
59,省,四川省,地级市,德阳市,0.4697
60,省,山东省,地级市,德州市,0.4544
61,省,云南省,自治州,迪庆藏族自治州,0.208
62,省,海南省,不统计,不统计,0.4265
63,省,甘肃省,地级市,定西市,0.3224
64,省,海南省,不统计,不统计,0.3363
65,省,广东省,地级市,东莞市,0.4619
66,省,山东省,地级市,东营市,0.3945
67,自治区,内蒙古自治区,地级市,鄂尔多斯市,0.2177
68,省,湖北省,地级市,鄂州市,0.6229
69,省,湖北省,自治州,恩施土家族苗族自治州,0.4309
70,自治区,广西壮族自治区,地级市,防城港市,0.2715
71,省,广东省,地级市,佛山市,0.5337
72,省,福建省,地级市,福州市,0.3669
73,省,辽宁省,地级市,抚顺市,0.3796
74,省,江西省,地级市,抚州市,0.3171
75,省,辽宁省,地级市,阜新市,0.2797
76,省,安徽省,地级市,阜阳市,0.5032
77,省,甘肃省,自治州,甘南藏族自治州,0.1525
78,省,四川省,自治州,甘孜藏族自治州,0.1058
79,省,江西省,地级市,赣州市,0.2989
80,自治区,宁夏回族自治区,地级市,固原市,0.3523
81,省,四川省,地级市,广安市,0.4788
82,省,四川省,地级市,广元市,0.2779
83,省,广东省,地级市,广州市,0.4139
84,自治区,广西壮族自治区,地级市,贵港市,0.4028
85,省,贵州省,地级市,贵阳市,0.5098
86,自治区,广西壮族自治区,地级市,桂林市,0.4327
87,省,青海省,自治州,果洛藏族自治州,0.0355
88,省,黑龙江省,地级市,哈尔滨市,0.2789
89,自治区,新疆维吾尔自治区,地级市,哈密市,0.0282
